# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 4.8693e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 4.3353e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 3.8926e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 3.3428e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 2.8110e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 2.3120e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 1.8474e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 1.4886e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 1.0295e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 5.5686e-02
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 2.4914e-02
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 5.5000e+01, -1.0185e-02
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 7.2000e+01, -4.0808e-02
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 9.0000e+01, -6.6888e-02
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 9.9000e+01, -7.8235e-02
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 1.0000e-03, 1.0917e+00
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 2.0000e-03, 9.7794e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 5.0000e-03, 8.4392e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 8.0000e-03, 7.8168e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 7.5354e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 6.9704e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 6.3824e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 5.8459e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 5.3171e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 4.8317e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 4.4097e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 3.9796e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 3.5431e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 3.1814e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 2.7321e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 2.2974e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 1.8896e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 1.5098e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 1.2166e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 8.4141e-02
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 4.5512e-02
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 4.0000e+01, 2.0362e-02
